k_phys_Mpc,nbar_ms,A_ring,phi_ring,damping
0.0028220370841811047,0.0001873499976302891,0.02736748074988655,2.350707068595914,1.7385138003676826e-190
0.0028981821766991107,0.00016470079610330767,0.025660822528678406,2.2711038875128393,1.2889201500215012e-202
0.002976381840061372,0.00014466818850997676,0.024050399285890575,2.1892959964986094,1.9905309677114827e-214
0.003056691511344853,0.00012696590799792263,0.022531539110432406,2.1052358714393695,6.281071202415013e-226
0.0031391681234471695,0.000111336688881546,0.02109971683501219,2.018874795531942,3.9743594036145064e-237
0.003223870145447285,9.754977781766527e-05,0.01975056835763385,1.9301626916416212,4.951425009557343e-248
0.0033108576240552584,8.539835806339259e-05,0.01847987928771178,1.8390481960208642,1.1931430279796306e-258
0.003400192226180371,7.469734433724765e-05,0.017283588606502556,1.745478580752025,5.465460191644959e-269
0.0034919372826478444,6.52813121290542e-05,0.01615778816171421,1.6493997010609296,4.679541987804237e-279
0.003586157833095161,5.700255079962612e-05,0.015098715780121638,1.550756002293957,7.366910240607681e-289
0.003682920672079763,4.972944280828482e-05,0.014102769212401046,1.4494902741760727,2.0985695616164806e-298
0.003782294396430857,4.334475721712446e-05,0.013166491054703104,1.3455437111050708,1.0650020685843063e-307
0.0038843494538788833,3.7744218396658054e-05,0.0122865690969171,1.238855785826988,9.4836943e-317
0.003989158192997097,3.283518611979792e-05,0.011459834560201776,1.1293641228751334,0.0
0.004096794914490733,2.8535413097005686e-05,0.01068325241571829,1.0170044556444218,0.0
0.004207335923870032,2.4772052247532157e-05,0.009953936199698313,0.9017102260575113,0.0
0.004320859585544508,2.1480588990823166e-05,0.009269132618805175,0.7834125501172172,0.0
0.004437446378376842,1.8603948918014716e-05,0.008626218335944761,0.6620400049612217,0.0
0.004557178952735709,1.6091701517729746e-05,0.008022698987821316,0.5375183492707375,0.0
0.004680142189088023,1.3899301229793117e-05,0.007456197882003974,0.4097703800604331,0.0
0.004806423258172176,1.1987512313601802e-05,0.006924472905752814,0.27871530195220573,0.0
0.004936111682794852,1.0321768342670639e-05,0.0064254023252141934,0.14426856042709002,0.0
0.005069299401295254,8.87163258203256e-06,0.005956977922353754,0.006341566536293423,0.0
0.005206080832721799,7.610338838828763e-06,0.005517305541400051,-0.13515870653748202,0.0
0.005346552943767373,6.514346128502031e-06,0.005104593553497567,-0.2803298757653072,0.0
0.0054908153175106614,5.563012576606189e-06,0.004717168536445998,-0.42927479327837126,0.0
0.005638970224012344,4.7382353350503465e-06,0.004353466662280167,-0.5821016691438556,0.0
0.005791122692816027,4.0241228057874024e-06,0.004012019060509776,-0.7389239125642643,0.0
0.005947380587405503,3.4067428752444424e-06,0.0036914539499724643,-0.8998601462335925,0.0
0.006107854681671064,2.873871265440245e-06,0.003390484623312942,-1.0650336698294576,0.0
0.006272658738438913,2.4148083243071315e-06,0.003107919456101864,-1.2345721576454363,0.0
0.006441909590119655,2.0201907050344452e-06,0.0028426596465310544,-1.4086067547842214,0.0
0.006615727221532756,1.6817940441644236e-06,0.002593673505278136,-1.587270108903888,0.0
0.006794234854965809,1.3924049478784077e-06,0.0023599992668684065,-1.7706946421828385,0.0
0.006977559037528964,1.1456850746827994e-06,0.0021407299126033367,-1.9590098420196562,0.0
0.007165829730866314,9.360749506474018e-07,0.0019350166140906459,-2.152339636166908,0.0
0.007359180403287901,7.587044922786991e-07,0.0017420709138395332,-2.350799467452722,0.0
0.0075577481243877245,6.092849207288781e-07,0.00156113267663112,-2.5544921092378816,0.0
0.007761673662214696,4.840508101052451e-07,0.0013914741943034505,-2.763504793932391,0.0
0.00797110158306549,3.7969701019222894e-07,0.0012323904877745613,-2.9779065620028633,0.0
0.008186180353970106,2.9333261150734964e-07,0.0010832033125398105,3.085437935551719,0.0
0.008407062447942664,2.224424024686215e-07,0.0009432756851656391,2.8601256427825295,0.0
0.008633904452072098,1.6483279401770458e-07,0.000811991903654159,2.629324095939473,0.0
0.008866867178529464,1.1860368736283228e-07,0.0006887775996449923,2.393022496444776,0.0
0.009106115778570421,8.211359647739339e-08,0.0005731093314318719,2.1512060047779467,0.0
0.009351819859613733,5.394792155033901e-08,0.00046453380047784156,1.9038404876959862,0.0
0.009604153605478965,3.288606830694596e-08,0.00036269030943789825,1.6508535636415593,0.0
0.009863295899868238,1.786355473401103e-08,0.0002673092128498711,1.3921141539378712,0.0
0.010129430453180054,7.941132201215827e-09,0.0001782260590445718,1.127409798466482,0.0
0.01040274593274467,2.274464326961095e-09,9.53826885082508e-05,0.8564247515356843,0.0
0.010683436096573604,8.851305115633443e-11,1.8816275012738155e-05,0.5787210137543337,0.0
0.010971699930718025,6.599442763336397e-10,5.04877133603284e-05,-2.847866417760963,0.0
0.011267741790333316,3.3112993689332197e-09,0.00011035329470796814,-3.1408616208643405,0.0
0.011571771544549988,7.41604899914023e-09,0.00016098509943486227,2.8404958001117717,0.0
0.011884004725253442,1.241467531041382e-08,0.0002028332772055486,2.528919515565336,0.0
0.012204662679878228,1.783605046184954e-08,0.00023651353533593,2.206669534283341,0.0
0.012533972728325035,2.3326719405976106e-08,0.0002628650385845328,1.8729351675476462,0.0
0.012872168324111609,2.866360567293433e-08,0.00028290453878948227,1.5271863421479734,0.0
0.013219489219871993,3.375471337549981e-08,0.00029777396759270175,1.1693727979875588,0.0
0.013576181637321216,3.8616743700264625e-08,0.00030862966020703085,0.8000998389946348,0.0
0.013942498441806093,4.332167536547875e-08,0.0003164719277447168,0.42069004995271675,0.0
0.014318699321565802,4.794141191848306e-08,0.0003220194395675862,0.03305239467321182,0.0
