N,a,z2
-19.58,3.136996573575575e-09,1.9681495005249798e-19
-19.573,3.1590325856525577e-09,1.995897375442937e-19
-19.566,3.1812233909583192e-09,2.0240364526360695e-19
-19.559,3.2035700768467373e-09,2.052572247453562e-19
-19.552,3.2260737383099144e-09,2.0815103530025812e-19
-19.545,3.2487354780317417e-09,2.110856441244426e-19
-19.538,3.2715564064420234e-09,2.1406162641063693e-19
-19.531,3.2945376417708054e-09,2.170795654608948e-19
-19.524,3.3176803101032053e-09,2.2014005280093e-19
-19.517,3.3409855454346263e-09,2.2324368829606215e-19
-19.51,3.364454489726238e-09,2.263910802687808e-19
-19.503,3.3880882929610304e-09,2.2958284561799177e-19
-19.496,3.4118881132000793e-09,2.3281960993991994e-19
-19.489,3.435855116639326e-09,2.3610200765073275e-19
-19.482,3.4599904776667586e-09,2.394306821108929e-19
-19.475,3.484295378919872e-09,2.4280628575124744e-19
-19.468,3.5087710113437154e-09,2.4622948020092e-19
-19.461,3.5334185742491627e-09,2.497009364169797e-19
-19.454,3.5582392753717148e-09,2.5322133481595656e-19
-19.447,3.5832343309307183e-09,2.5679136540721024e-19
-19.44,3.6084049656888712e-09,2.604117279281621e-19
-19.433,3.6337524130123386e-09,2.6408313198145985e-19
-19.426,3.6592779149310985e-09,2.6780629717404975e-19
-19.419,3.6849827221998384e-09,2.7158195325822663e-19
-19.412,3.710868094359284e-09,2.754108402746741e-19
-19.405,3.736935299797824e-09,2.79293708697501e-19
-19.398,3.763185615813767e-09,2.8323131958135276e-19
-19.391,3.7896203286778374e-09,2.872244447105664e-19
-19.384,3.81624073369624e-09,2.912738667504484e-19
-19.377,3.843048135274175e-09,2.9538037940068625e-19
-19.37,3.870043846979656e-09,2.9954478755090185e-19
-19.363,3.897229191607985e-09,3.037679074384286e-19
-19.356,3.924605501246461e-09,3.0805056680827966e-19
-19.349,3.952174117339762e-09,3.1239360507540645e-19
-19.342,3.979936390755577e-09,3.1679787348921056e-19
-19.335,4.007893681850845e-09,3.212642353003985e-19
-19.328,4.036047360538453e-09,3.2579356593018826e-19
-19.321,4.06439880635426e-09,3.3038675314187863e-19
-19.314,4.092949408524812e-09,3.3504469721487216e-19
-19.307,4.121700566035315e-09,3.397683111211167e-19
-19.3,4.1506536876982236e-09,3.445585207040573e-19
-19.293,4.179810192222322e-09,3.494162648601121e-19
-19.286,4.209171508282136e-09,3.5434249572268227e-19
-19.279,4.238739074588057e-09,3.5933817884879243e-19
-19.272,4.268514339956736e-09,3.644042934083258e-19
-19.265,4.298498763382117e-09,3.695418323759518e-19
-19.258,4.328693814106978e-09,3.747518027257604e-19
-19.251,4.359100971694817e-09,3.8003522562861393e-19
-19.244,4.389721726102469e-09,3.853931366523208e-19
-19.237,4.420557577753011e-09,3.908265859645914e-19
-19.23,4.45161003760933e-09,3.9633663853888277e-19
-19.223,4.482880627248201e-09,4.0192437436314446e-19
-19.216,4.514370878934742e-09,4.075908886514807e-19
-19.209,4.546082335697619e-09,4.1333729205883846e-19
-19.201999999999998,4.578016551404542e-09,4.1916471089867867e-19
-19.195,4.610175090838454e-09,4.2507428736374702e-19
-19.188,4.6425595297742545e-09,4.310671797499549e-19
-19.181,4.675171455055897e-09,4.371445626833895e-19
-19.174,4.70801246467428e-09,4.433076273505678e-19
-19.167,4.741084167845411e-09,4.495575817318884e-19
-19.16,4.774388185089398e-09,4.558956508384247e-19
-19.153,4.80792614830973e-09,4.623230769520087e-19
-19.146,4.8416997008733e-09,4.688411198687321e-19
-19.139,4.8757104976909754e-09,4.754510571458796e-19
-19.132,4.9099602052985694e-09,4.821541843523114e-19
-19.125,4.944450501938644e-09,4.889518153224262e-19
-19.118,4.979183077642617e-09,4.958452824136522e-19
-19.111,5.0141596343136305e-09,5.02835936767604e-19
-19.104,5.049381885809995e-09,5.09925148574922e-19
-19.097,5.084851558029044e-09,5.17114307343808e-19
-19.09,5.12057038899185e-09,5.24404822172403e-19
-19.083,5.1565401289282606e-09,5.3179812202494965e-19
-19.076,5.192762540362708e-09,5.392956560118834e-19
-19.069,5.22923939820064e-09,5.468988936738759e-19
-19.062,5.26597248981535e-09,5.546093252698414e-19
-19.055,5.302963615135715e-09,5.62428462069065e-19
-19.048,5.340214586734257e-09,5.703578366473866e-19
-19.041,5.377727229916021e-09,5.783990031876049e-19
-19.034,5.415503382808064e-09,5.865535377841117e-19
-19.027,5.4535448964494e-09,5.948230387517859e-19
-19.02,5.491853634881847e-09,6.03209126939299e-19
-19.013,5.530431475241213e-09,6.117134460467739e-19
-19.006,5.569280307849435e-09,6.203376629479899e-19
-18.999,5.6084020363070635e-09,6.290834680170644e-19
-18.992,5.647798577586601e-09,6.379525754597847e-19
-18.985,5.6874718621264915e-09,6.469467236496116e-19
-18.978,5.727423833925577e-09,6.560676754683752e-19
-18.971,5.767656450638509e-09,6.6531721865184e-19
-18.964,5.808171683671536e-09,6.746971661400768e-19
-18.957,5.848971518279162e-09,6.842093564328169e-19
-18.95,5.890057953661489e-09,6.938556539498194e-19
-18.943,5.9314330030620284e-09,7.036379493962687e-19
-18.936,5.973098693866522e-09,7.13558160133399e-19
-18.929,6.0150570677021345e-09,7.23618230554268e-19
-18.922,6.057310180537557e-09,7.338201324648787e-19
-18.915,6.099860102783817e-09,7.44165865470676e-19
-18.908,6.142708919395574e-09,7.546574573684387e-19
-18.901,6.185858729973458e-09,7.652969645437769e-19
-18.894,6.2293116488668014e-09,7.760864723741526e-19
-18.887,6.2730698052773e-09,7.870280956376356e-19
-18.88,6.317135343363417e-09,7.9812397892742475e-19
-18.873,6.361510422345294e-09,8.093762970721559e-19
-18.866,6.406197216610721e-09,8.207872555622189e-19
-18.859,6.451197915821515e-09,8.323590909819972e-19
-18.852,6.496514725020987e-09,8.440940714482902e-19
-18.845,6.5421498647418315e-09,8.559944970548313e-19
-18.838,6.5881055711150025e-09,8.680627003231307e-19
-18.831,6.634384095979353e-09,8.803010466596755e-19
-18.824,6.680987706991815e-09,8.92711934819515e-19
-18.817,6.727918687738701e-09,9.052977973764727e-19
-18.81,6.775179337847431e-09,9.180611011998951e-19
-18.803,6.822771973099295e-09,9.31004347938185e-19
-18.796,6.870698925542991e-09,9.441300745091523e-19
-18.789,6.918962543608727e-09,9.574408535972111e-19
-18.782,6.9675651922234975e-09,9.709392941576893e-19
-18.775,7.016509252926782e-09,9.84628041928143e-19
-18.768,7.065797123987324e-09,9.985097799469509e-19
-18.761,7.115431220520717e-09,1.0125872290792189e-18
-18.754,7.165413974607572e-09,1.0268631485500298e-18
-18.747,7.2157478354128905e-09,1.0413403364853163e-18
-18.74,7.266435269305897e-09,1.0560216304602531e-18
-18.733,7.3174787599809696e-09,1.0709099080554525e-18
-18.726,7.3688808085794145e-09,1.086008087421e-18
